cell_id,locus,task_id,prior_arm,terminal_state,blind_status,scheduled_execution_count,launched_execution_count,completed_execution_count,recommendation_gain_over_incumbent
A_S--partition-discovery--seed241120479--opaque,A_S,partition-discovery,opaque,completed,completed,6,6,6,0.0
A_S--partition-discovery--seed241120479--aligned_nominal,A_S,partition-discovery,aligned_nominal,completed,completed,6,6,6,0.0
A_S--partition-discovery--seed241120479--misindexed_nominal,A_S,partition-discovery,misindexed_nominal,completed,completed,6,6,6,0.0
A_S--reaction-to-crystallization--seed620418208--opaque,A_S,reaction-to-crystallization,opaque,completed,completed,6,6,6,0.0
A_S--reaction-to-crystallization--seed620418208--aligned_nominal,A_S,reaction-to-crystallization,aligned_nominal,right_censored,not_launched_participant_right_censored,6,0,0,
A_S--reaction-to-crystallization--seed620418208--misindexed_nominal,A_S,reaction-to-crystallization,misindexed_nominal,failed,not_launched_participant_failed,6,0,0,
A_S--reaction-to-crystallization--seed698311423--opaque,A_S,reaction-to-crystallization,opaque,completed,completed,6,6,6,0.0
A_S--reaction-to-crystallization--seed698311423--aligned_nominal,A_S,reaction-to-crystallization,aligned_nominal,completed,completed,6,6,6,0.0
A_S--reaction-to-crystallization--seed698311423--misindexed_nominal,A_S,reaction-to-crystallization,misindexed_nominal,completed,completed,6,6,6,0.0
A_S--reaction-to-crystallization--seed642292453--opaque,A_S,reaction-to-crystallization,opaque,completed,completed,6,6,6,-0.11843996847738586
A_S--reaction-to-crystallization--seed642292453--aligned_nominal,A_S,reaction-to-crystallization,aligned_nominal,completed,completed,6,6,6,0.0
A_S--reaction-to-crystallization--seed642292453--misindexed_nominal,A_S,reaction-to-crystallization,misindexed_nominal,completed,completed,6,6,6,0.0
A_S--reaction-to-crystallization--seed433478377--opaque,A_S,reaction-to-crystallization,opaque,completed,completed,6,6,6,0.0
A_S--reaction-to-crystallization--seed433478377--aligned_nominal,A_S,reaction-to-crystallization,aligned_nominal,completed,completed,6,6,6,0.0
A_S--reaction-to-crystallization--seed433478377--misindexed_nominal,A_S,reaction-to-crystallization,misindexed_nominal,completed,completed,6,6,6,0.0
A_S--reaction-to-crystallization--seed918459813--opaque,A_S,reaction-to-crystallization,opaque,failed,not_launched_participant_failed,6,0,0,
A_S--reaction-to-crystallization--seed918459813--aligned_nominal,A_S,reaction-to-crystallization,aligned_nominal,completed,completed,6,6,6,0.0
A_S--reaction-to-crystallization--seed918459813--misindexed_nominal,A_S,reaction-to-crystallization,misindexed_nominal,completed,completed,6,6,6,0.0
