cell_id,task_id,world_seed,prior_arm,participant_state,law_summary_minus_final_error
deepseek-development--partition-discovery--seed-3--aligned_nominal,partition-discovery,3,aligned_nominal,failed,0.09944279925773539
deepseek-development--partition-discovery--seed-3--misindexed_nominal,partition-discovery,3,misindexed_nominal,completed,0.029494474856058772
deepseek-development--partition-discovery--seed-4--aligned_nominal,partition-discovery,4,aligned_nominal,completed,0.03721941774189472
deepseek-development--partition-discovery--seed-4--misindexed_nominal,partition-discovery,4,misindexed_nominal,completed,0.1864197976633902
deepseek-development--reaction-safety-constrained--seed-0--opaque,reaction-safety-constrained,0,opaque,completed,0.030499999999999985
deepseek-development--reaction-safety-constrained--seed-0--misindexed_nominal,reaction-safety-constrained,0,misindexed_nominal,completed,0.010431550413370141
deepseek-development--reaction-safety-constrained--seed-1--opaque,reaction-safety-constrained,1,opaque,completed,-0.0012375000000000025
deepseek-development--reaction-safety-constrained--seed-1--aligned_nominal,reaction-safety-constrained,1,aligned_nominal,completed,-0.014077414676547051
deepseek-development--reaction-safety-constrained--seed-1--misindexed_nominal,reaction-safety-constrained,1,misindexed_nominal,completed,0.0048303892798721715
deepseek-development--reaction-safety-constrained--seed-2--opaque,reaction-safety-constrained,2,opaque,completed,0.415875
deepseek-development--reaction-safety-constrained--seed-2--aligned_nominal,reaction-safety-constrained,2,aligned_nominal,completed,0.14594333679415286
deepseek-development--reaction-safety-constrained--seed-2--misindexed_nominal,reaction-safety-constrained,2,misindexed_nominal,completed,0.008932968890294435
deepseek-development--reaction-safety-constrained--seed-3--opaque,reaction-safety-constrained,3,opaque,completed,0.011259509205818183
deepseek-development--reaction-safety-constrained--seed-3--aligned_nominal,reaction-safety-constrained,3,aligned_nominal,completed,0.052346068845689306
deepseek-development--reaction-safety-constrained--seed-3--misindexed_nominal,reaction-safety-constrained,3,misindexed_nominal,completed,0.3985835529133678
deepseek-development--reaction-safety-constrained--seed-4--opaque,reaction-safety-constrained,4,opaque,completed,-0.0014195013046264804
deepseek-development--reaction-safety-constrained--seed-4--aligned_nominal,reaction-safety-constrained,4,aligned_nominal,completed,-0.004625000000000004
deepseek-development--reaction-safety-constrained--seed-4--misindexed_nominal,reaction-safety-constrained,4,misindexed_nominal,completed,0.008058052361011508
deepseek-development--reaction-to-crystallization--seed-0--opaque,reaction-to-crystallization,0,opaque,completed,0.0026236243049303914
deepseek-development--reaction-to-crystallization--seed-0--aligned_nominal,reaction-to-crystallization,0,aligned_nominal,completed,0.39325073377291364
deepseek-development--reaction-to-crystallization--seed-0--misindexed_nominal,reaction-to-crystallization,0,misindexed_nominal,completed,0.024166666666666697
deepseek-development--reaction-to-crystallization--seed-1--opaque,reaction-to-crystallization,1,opaque,completed,0.007876089736819289
deepseek-development--reaction-to-crystallization--seed-1--aligned_nominal,reaction-to-crystallization,1,aligned_nominal,completed,0.025228735009829188
deepseek-development--reaction-to-crystallization--seed-1--misindexed_nominal,reaction-to-crystallization,1,misindexed_nominal,completed,0.13241359921793144
deepseek-development--reaction-to-crystallization--seed-2--opaque,reaction-to-crystallization,2,opaque,completed,-0.10142339502771698
deepseek-development--reaction-to-crystallization--seed-2--aligned_nominal,reaction-to-crystallization,2,aligned_nominal,completed,0.02843551153937976
deepseek-development--reaction-to-crystallization--seed-2--misindexed_nominal,reaction-to-crystallization,2,misindexed_nominal,completed,0.0020000000000000295
deepseek-development--reaction-to-crystallization--seed-3--opaque,reaction-to-crystallization,3,opaque,completed,0.005916666666666681
deepseek-development--reaction-to-crystallization--seed-3--aligned_nominal,reaction-to-crystallization,3,aligned_nominal,completed,0.1417229109406471
deepseek-development--reaction-to-crystallization--seed-4--aligned_nominal,reaction-to-crystallization,4,aligned_nominal,completed,-0.0071666666666666545
deepseek-development--reaction-to-crystallization--seed-4--misindexed_nominal,reaction-to-crystallization,4,misindexed_nominal,completed,0.022500000000000048
deepseek-development--reaction-to-distillation--seed-0--opaque,reaction-to-distillation,0,opaque,completed,0.005755865931510923
deepseek-development--reaction-to-distillation--seed-0--aligned_nominal,reaction-to-distillation,0,aligned_nominal,completed,0.008500000000000008
deepseek-development--reaction-to-distillation--seed-0--misindexed_nominal,reaction-to-distillation,0,misindexed_nominal,completed,0.11113300922699276
deepseek-development--reaction-to-distillation--seed-1--opaque,reaction-to-distillation,1,opaque,completed,0.5412953327894211
deepseek-development--reaction-to-distillation--seed-1--aligned_nominal,reaction-to-distillation,1,aligned_nominal,completed,-0.0150703276395798
deepseek-development--reaction-to-distillation--seed-1--misindexed_nominal,reaction-to-distillation,1,misindexed_nominal,completed,0.2258557879090309
deepseek-development--reaction-to-distillation--seed-2--opaque,reaction-to-distillation,2,opaque,completed,-0.002187500000000009
deepseek-development--reaction-to-distillation--seed-2--aligned_nominal,reaction-to-distillation,2,aligned_nominal,completed,0.280825
deepseek-development--reaction-to-distillation--seed-2--misindexed_nominal,reaction-to-distillation,2,misindexed_nominal,completed,0.19845000000000002
deepseek-development--reaction-to-distillation--seed-3--opaque,reaction-to-distillation,3,opaque,completed,-0.03587499999999999
deepseek-development--reaction-to-distillation--seed-3--aligned_nominal,reaction-to-distillation,3,aligned_nominal,completed,-0.016262717247009284
deepseek-development--reaction-to-distillation--seed-3--misindexed_nominal,reaction-to-distillation,3,misindexed_nominal,completed,0.032125000000000015
deepseek-development--reaction-to-distillation--seed-4--opaque,reaction-to-distillation,4,opaque,completed,-0.014711205137660693
deepseek-development--reaction-to-distillation--seed-4--aligned_nominal,reaction-to-distillation,4,aligned_nominal,completed,-0.0005000000000000004
deepseek-development--reaction-to-distillation--seed-4--misindexed_nominal,reaction-to-distillation,4,misindexed_nominal,completed,0.19142499999999998
