state_id,cluster_id,task,model,repeat,condition,candidate_id,status,failure_type,raw_regret,failure_aware_regret,near_optimal,top1
electrochemical-conversion--w02--gpt--r1,electrochemical-conversion--w02,electrochemical-conversion,gpt,1,F-X,c04,completed,,0.010129988193511963,0.010129988193511963,False,False
electrochemical-conversion--w02--deepseek--r2,electrochemical-conversion--w02,electrochemical-conversion,deepseek,2,L-X,c04,completed,,0.010129988193511963,0.010129988193511963,False,False
electrochemical-conversion--w02--deepseek--r2,electrochemical-conversion--w02,electrochemical-conversion,deepseek,2,F-X,c04,completed,,0.010129988193511963,0.010129988193511963,False,False
electrochemical-conversion--w02--gpt--r2,electrochemical-conversion--w02,electrochemical-conversion,gpt,2,L-X,c04,completed,,0.010129988193511963,0.010129988193511963,False,False
electrochemical-conversion--w02--gpt--r2,electrochemical-conversion--w02,electrochemical-conversion,gpt,2,F-X,c04,completed,,0.010129988193511963,0.010129988193511963,False,False
,electrochemical-conversion--w02,electrochemical-conversion,,,nearest,c06,completed,,0.0,0.0,True,True
electrochemical-conversion--w03--deepseek--r1,electrochemical-conversion--w03,electrochemical-conversion,deepseek,1,L-X,c02,completed,,0.02649208903312683,0.02649208903312683,False,False
electrochemical-conversion--w03--deepseek--r1,electrochemical-conversion--w03,electrochemical-conversion,deepseek,1,F-X,c04,completed,,0.015764296054840088,0.015764296054840088,False,False
electrochemical-conversion--w03--gpt--r2,electrochemical-conversion--w03,electrochemical-conversion,gpt,2,L-X,c02,completed,,0.02649208903312683,0.02649208903312683,False,False
electrochemical-conversion--w03--gpt--r2,electrochemical-conversion--w03,electrochemical-conversion,gpt,2,F-X,c04,completed,,0.015764296054840088,0.015764296054840088,False,False
electrochemical-conversion--w03--gpt--r1,electrochemical-conversion--w03,electrochemical-conversion,gpt,1,L-X,c04,completed,,0.015764296054840088,0.015764296054840088,False,False
electrochemical-conversion--w03--gpt--r1,electrochemical-conversion--w03,electrochemical-conversion,gpt,1,F-X,c04,completed,,0.015764296054840088,0.015764296054840088,False,False
electrochemical-conversion--w03--deepseek--r2,electrochemical-conversion--w03,electrochemical-conversion,deepseek,2,L-X,c04,completed,,0.015764296054840088,0.015764296054840088,False,False
electrochemical-conversion--w03--deepseek--r2,electrochemical-conversion--w03,electrochemical-conversion,deepseek,2,F-X,c04,completed,,0.015764296054840088,0.015764296054840088,False,False
,electrochemical-conversion--w03,electrochemical-conversion,,,nearest,c06,completed,,0.0,0.0,True,True
electrochemical-conversion--w04--gpt--r1,electrochemical-conversion--w04,electrochemical-conversion,gpt,1,L-X,c02,completed,,0.05289199948310852,0.05289199948310852,False,False
electrochemical-conversion--w04--gpt--r1,electrochemical-conversion--w04,electrochemical-conversion,gpt,1,F-X,c04,completed,,0.005261898040771484,0.005261898040771484,True,False
electrochemical-conversion--w04--gpt--r2,electrochemical-conversion--w04,electrochemical-conversion,gpt,2,L-X,c04,completed,,0.005261898040771484,0.005261898040771484,True,False
electrochemical-conversion--w04--gpt--r2,electrochemical-conversion--w04,electrochemical-conversion,gpt,2,F-X,c04,completed,,0.005261898040771484,0.005261898040771484,True,False
electrochemical-conversion--w04--deepseek--r2,electrochemical-conversion--w04,electrochemical-conversion,deepseek,2,L-X,c04,completed,,0.005261898040771484,0.005261898040771484,True,False
electrochemical-conversion--w04--deepseek--r2,electrochemical-conversion--w04,electrochemical-conversion,deepseek,2,F-X,c04,completed,,0.005261898040771484,0.005261898040771484,True,False
electrochemical-conversion--w04--deepseek--r1,electrochemical-conversion--w04,electrochemical-conversion,deepseek,1,L-X,c04,completed,,0.005261898040771484,0.005261898040771484,True,False
electrochemical-conversion--w04--deepseek--r1,electrochemical-conversion--w04,electrochemical-conversion,deepseek,1,F-X,c04,completed,,0.005261898040771484,0.005261898040771484,True,False
,electrochemical-conversion--w04,electrochemical-conversion,,,nearest,c06,completed,,0.0,0.0,True,True
electrochemical-conversion--w05--deepseek--r2,electrochemical-conversion--w05,electrochemical-conversion,deepseek,2,L-X,c04,completed,,0.018182605504989624,0.018182605504989624,False,False
electrochemical-conversion--w05--deepseek--r2,electrochemical-conversion--w05,electrochemical-conversion,deepseek,2,F-X,c04,completed,,0.018182605504989624,0.018182605504989624,False,False
electrochemical-conversion--w05--gpt--r2,electrochemical-conversion--w05,electrochemical-conversion,gpt,2,L-X,c04,completed,,0.018182605504989624,0.018182605504989624,False,False
electrochemical-conversion--w05--gpt--r2,electrochemical-conversion--w05,electrochemical-conversion,gpt,2,F-X,c04,completed,,0.018182605504989624,0.018182605504989624,False,False
electrochemical-conversion--w05--gpt--r1,electrochemical-conversion--w05,electrochemical-conversion,gpt,1,L-X,c04,completed,,0.018182605504989624,0.018182605504989624,False,False
electrochemical-conversion--w05--gpt--r1,electrochemical-conversion--w05,electrochemical-conversion,gpt,1,F-X,c04,completed,,0.018182605504989624,0.018182605504989624,False,False
electrochemical-conversion--w05--deepseek--r1,electrochemical-conversion--w05,electrochemical-conversion,deepseek,1,L-X,c04,completed,,0.018182605504989624,0.018182605504989624,False,False
electrochemical-conversion--w05--deepseek--r1,electrochemical-conversion--w05,electrochemical-conversion,deepseek,1,F-X,c04,completed,,0.018182605504989624,0.018182605504989624,False,False
,electrochemical-conversion--w05,electrochemical-conversion,,,nearest,c06,completed,,0.0,0.0,True,True
reaction-to-crystallization--w01--gpt--r2,reaction-to-crystallization--w01,reaction-to-crystallization,gpt,2,L-X,c01,completed,,0.0,0.0,True,True
reaction-to-crystallization--w01--gpt--r2,reaction-to-crystallization--w01,reaction-to-crystallization,gpt,2,F-X,c01,completed,,0.0,0.0,True,True
reaction-to-crystallization--w01--gpt--r1,reaction-to-crystallization--w01,reaction-to-crystallization,gpt,1,L-X,c01,completed,,0.0,0.0,True,True
reaction-to-crystallization--w01--gpt--r1,reaction-to-crystallization--w01,reaction-to-crystallization,gpt,1,F-X,c01,completed,,0.0,0.0,True,True
reaction-to-crystallization--w01--deepseek--r1,reaction-to-crystallization--w01,reaction-to-crystallization,deepseek,1,L-X,c01,completed,,0.0,0.0,True,True
reaction-to-crystallization--w01--deepseek--r1,reaction-to-crystallization--w01,reaction-to-crystallization,deepseek,1,F-X,c01,completed,,0.0,0.0,True,True
reaction-to-crystallization--w01--deepseek--r2,reaction-to-crystallization--w01,reaction-to-crystallization,deepseek,2,L-X,c01,completed,,0.0,0.0,True,True
reaction-to-crystallization--w01--deepseek--r2,reaction-to-crystallization--w01,reaction-to-crystallization,deepseek,2,F-X,c01,completed,,0.0,0.0,True,True
,reaction-to-crystallization--w01,reaction-to-crystallization,,,nearest,c01,completed,,0.0,0.0,True,True
reaction-to-crystallization--w02--deepseek--r2,reaction-to-crystallization--w02,reaction-to-crystallization,deepseek,2,L-X,c01,completed,,0.0,0.0,True,True
reaction-to-crystallization--w02--deepseek--r2,reaction-to-crystallization--w02,reaction-to-crystallization,deepseek,2,F-X,c01,completed,,0.0,0.0,True,True
reaction-to-crystallization--w02--gpt--r2,reaction-to-crystallization--w02,reaction-to-crystallization,gpt,2,L-X,c01,completed,,0.0,0.0,True,True
reaction-to-crystallization--w02--gpt--r2,reaction-to-crystallization--w02,reaction-to-crystallization,gpt,2,F-X,c01,completed,,0.0,0.0,True,True
reaction-to-crystallization--w02--gpt--r1,reaction-to-crystallization--w02,reaction-to-crystallization,gpt,1,L-X,c01,completed,,0.0,0.0,True,True
reaction-to-crystallization--w02--gpt--r1,reaction-to-crystallization--w02,reaction-to-crystallization,gpt,1,F-X,c01,completed,,0.0,0.0,True,True
reaction-to-crystallization--w02--deepseek--r1,reaction-to-crystallization--w02,reaction-to-crystallization,deepseek,1,L-X,c08,completed,,0.039554059505462646,0.039554059505462646,False,False
reaction-to-crystallization--w02--deepseek--r1,reaction-to-crystallization--w02,reaction-to-crystallization,deepseek,1,F-X,c01,completed,,0.0,0.0,True,True
,reaction-to-crystallization--w02,reaction-to-crystallization,,,nearest,c01,completed,,0.0,0.0,True,True
reaction-to-crystallization--w03--gpt--r2,reaction-to-crystallization--w03,reaction-to-crystallization,gpt,2,L-X,c01,completed,,0.0,0.0,True,True
reaction-to-crystallization--w03--gpt--r2,reaction-to-crystallization--w03,reaction-to-crystallization,gpt,2,F-X,c01,completed,,0.0,0.0,True,True
reaction-to-crystallization--w03--deepseek--r1,reaction-to-crystallization--w03,reaction-to-crystallization,deepseek,1,L-X,c01,completed,,0.0,0.0,True,True
reaction-to-crystallization--w03--deepseek--r1,reaction-to-crystallization--w03,reaction-to-crystallization,deepseek,1,F-X,c01,completed,,0.0,0.0,True,True
reaction-to-crystallization--w03--gpt--r1,reaction-to-crystallization--w03,reaction-to-crystallization,gpt,1,L-X,c01,completed,,0.0,0.0,True,True
reaction-to-crystallization--w03--gpt--r1,reaction-to-crystallization--w03,reaction-to-crystallization,gpt,1,F-X,c01,completed,,0.0,0.0,True,True
reaction-to-crystallization--w03--deepseek--r2,reaction-to-crystallization--w03,reaction-to-crystallization,deepseek,2,L-X,c01,completed,,0.0,0.0,True,True
reaction-to-crystallization--w03--deepseek--r2,reaction-to-crystallization--w03,reaction-to-crystallization,deepseek,2,F-X,c01,completed,,0.0,0.0,True,True
,reaction-to-crystallization--w03,reaction-to-crystallization,,,nearest,c01,completed,,0.0,0.0,True,True
reaction-to-crystallization--w04--deepseek--r2,reaction-to-crystallization--w04,reaction-to-crystallization,deepseek,2,L-X,c01,completed,,0.0,0.0,True,True
reaction-to-crystallization--w04--deepseek--r2,reaction-to-crystallization--w04,reaction-to-crystallization,deepseek,2,F-X,c01,completed,,0.0,0.0,True,True
reaction-to-crystallization--w04--deepseek--r1,reaction-to-crystallization--w04,reaction-to-crystallization,deepseek,1,L-X,c01,completed,,0.0,0.0,True,True
reaction-to-crystallization--w04--deepseek--r1,reaction-to-crystallization--w04,reaction-to-crystallization,deepseek,1,F-X,c01,completed,,0.0,0.0,True,True
reaction-to-crystallization--w04--gpt--r1,reaction-to-crystallization--w04,reaction-to-crystallization,gpt,1,L-X,c01,completed,,0.0,0.0,True,True
reaction-to-crystallization--w04--gpt--r1,reaction-to-crystallization--w04,reaction-to-crystallization,gpt,1,F-X,c01,completed,,0.0,0.0,True,True
reaction-to-crystallization--w04--gpt--r2,reaction-to-crystallization--w04,reaction-to-crystallization,gpt,2,L-X,c01,completed,,0.0,0.0,True,True
reaction-to-crystallization--w04--gpt--r2,reaction-to-crystallization--w04,reaction-to-crystallization,gpt,2,F-X,c01,completed,,0.0,0.0,True,True
,reaction-to-crystallization--w04,reaction-to-crystallization,,,nearest,c01,completed,,0.0,0.0,True,True
reaction-to-crystallization--w05--gpt--r1,reaction-to-crystallization--w05,reaction-to-crystallization,gpt,1,L-X,c01,completed,,0.0,0.0,True,True
reaction-to-crystallization--w05--gpt--r1,reaction-to-crystallization--w05,reaction-to-crystallization,gpt,1,F-X,c01,completed,,0.0,0.0,True,True
reaction-to-crystallization--w05--deepseek--r2,reaction-to-crystallization--w05,reaction-to-crystallization,deepseek,2,L-X,c01,completed,,0.0,0.0,True,True
reaction-to-crystallization--w05--deepseek--r2,reaction-to-crystallization--w05,reaction-to-crystallization,deepseek,2,F-X,c01,completed,,0.0,0.0,True,True
reaction-to-crystallization--w05--gpt--r2,reaction-to-crystallization--w05,reaction-to-crystallization,gpt,2,L-X,c01,completed,,0.0,0.0,True,True
reaction-to-crystallization--w05--gpt--r2,reaction-to-crystallization--w05,reaction-to-crystallization,gpt,2,F-X,c01,completed,,0.0,0.0,True,True
reaction-to-crystallization--w05--deepseek--r1,reaction-to-crystallization--w05,reaction-to-crystallization,deepseek,1,L-X,c01,completed,,0.0,0.0,True,True
reaction-to-crystallization--w05--deepseek--r1,reaction-to-crystallization--w05,reaction-to-crystallization,deepseek,1,F-X,c01,completed,,0.0,0.0,True,True
,reaction-to-crystallization--w05,reaction-to-crystallization,,,nearest,c01,completed,,0.0,0.0,True,True
