cell_id,task_id,world_seed,prior_arm,blind_recommendation_gain
deepseek-development--reaction-to-crystallization--seed-3--opaque,reaction-to-crystallization,3,opaque,0.0
deepseek-development--reaction-to-crystallization--seed-3--aligned_nominal,reaction-to-crystallization,3,aligned_nominal,0.0
deepseek-development--reaction-to-crystallization--seed-4--aligned_nominal,reaction-to-crystallization,4,aligned_nominal,0.0
deepseek-development--reaction-to-crystallization--seed-4--misindexed_nominal,reaction-to-crystallization,4,misindexed_nominal,0.0
deepseek-development--reaction-to-distillation--seed-0--opaque,reaction-to-distillation,0,opaque,0.0
deepseek-development--reaction-to-distillation--seed-0--aligned_nominal,reaction-to-distillation,0,aligned_nominal,0.0
deepseek-development--reaction-to-distillation--seed-0--misindexed_nominal,reaction-to-distillation,0,misindexed_nominal,0.0
deepseek-development--reaction-to-distillation--seed-1--opaque,reaction-to-distillation,1,opaque,0.0
deepseek-development--reaction-to-distillation--seed-1--aligned_nominal,reaction-to-distillation,1,aligned_nominal,0.0
deepseek-development--reaction-to-distillation--seed-1--misindexed_nominal,reaction-to-distillation,1,misindexed_nominal,0.0
deepseek-development--reaction-to-distillation--seed-2--opaque,reaction-to-distillation,2,opaque,0.0
deepseek-development--reaction-to-distillation--seed-2--aligned_nominal,reaction-to-distillation,2,aligned_nominal,0.0
deepseek-development--reaction-to-distillation--seed-2--misindexed_nominal,reaction-to-distillation,2,misindexed_nominal,0.0
deepseek-development--reaction-to-distillation--seed-3--opaque,reaction-to-distillation,3,opaque,0.0
deepseek-development--reaction-to-distillation--seed-3--aligned_nominal,reaction-to-distillation,3,aligned_nominal,0.0
deepseek-development--reaction-to-distillation--seed-3--misindexed_nominal,reaction-to-distillation,3,misindexed_nominal,0.0
deepseek-development--reaction-to-distillation--seed-4--opaque,reaction-to-distillation,4,opaque,0.0
deepseek-development--reaction-to-distillation--seed-4--aligned_nominal,reaction-to-distillation,4,aligned_nominal,0.0
deepseek-development--reaction-to-distillation--seed-4--misindexed_nominal,reaction-to-distillation,4,misindexed_nominal,0.0
